LotID,PartNo
AFK777001,C3R12EM3FP-DP
MLN385XA2,C6M96NM4LP-DPA
MNL836000,C3P96FM3MP-DST
MNL955000,C3P96FM3MP-DST
MNM010000,C3P96FM3MP-DST
MNM039000,C3P96FM3MP-DST
MNM177000,C3P96FM3MP-DST
MNM1770A0,C3P96FM3MP-DST
MNM181000,C3P96FM3MP-DST
MNM222000,C3P96FM3MP-DST
MNM481000,C3P96FM3MP-DST
MNL836000,C3P96FM3MP-DSA
MNL955000,C3P96FM3MP-DSA
MNM010000,C3P96FM3MP-DSA
MNM039000,C3P96FM3MP-DSA
MNM177000,C3P96FM3MP-DSA
MNM1770A0,C3P96FM3MP-DSA
MNM181000,C3P96FM3MP-DSA
MNM222000,C3P96FM3MP-DSA
MNM481000,C3P96FM3MP-DSA
MNL840000,C3P96FM3MP-DST
MNM0040A0,C3P96FM3MP-DST
MNM089000,C3P96FM3MP-DST
MNM137000,C3P96FM3MP-DST
MNM353000,C3P96FM3MP-DST
MNM356000,C3P96FM3MP-DST
MNM424000,C3P96FM3MP-DST
MNM426000,C3P96FM3MP-DST
MNM427000,C3P96FM3MP-DST
MNM428000,C3P96FM3MP-DST
MNM487000,C3P96FM3MP-DST
MNM4890A0,C3P96FM3MP-DST
MNM492000,C3P96FM3MP-DST
MNM530000,C3P96FM3MP-DST
MNL840000,C3P96FM3MP-DSA
MNM0040A0,C3P96FM3MP-DSA
MNM089000,C3P96FM3MP-DSA
MNM137000,C3P96FM3MP-DSA
MNM353000,C3P96FM3MP-DSA
MNM356000,C3P96FM3MP-DSA
MNM424000,C3P96FM3MP-DSA
MNM426000,C3P96FM3MP-DSA
MNM427000,C3P96FM3MP-DSA
MNM428000,C3P96FM3MP-DSA
MNM487000,C3P96FM3MP-DSA
MNM4890A0,C3P96FM3MP-DSA
MNM492000,C3P96FM3MP-DSA
MNM530000,C3P96FM3MP-DSA
MNL718000,C3P96FM3MP-DST
MNM311000,C3P96FM3MP-DST
MNM633000,C3P96FM3MP-DST
MNM758000,C3P96FM3MP-DST
MNM758030,C3P96FM3MP-DST
MNM762000,C3P96FM3MP-DST
MNM763000,C3P96FM3MP-DST
MNM801000,C3P96FM3MP-DST
MNM804000,C3P96FM3MP-DST
MNM811000,C3P96FM3MP-DST
MNM812000,C3P96FM3MP-DST
MNM859000,C3P96FM3MP-DST
MNM940000,C3P96FM3MP-DST
MNL718000,C3P96FM3MP-DSA
MNM311000,C3P96FM3MP-DSA
MNM633000,C3P96FM3MP-DSA
MNM758000,C3P96FM3MP-DSA
MNM758030,C3P96FM3MP-DSA
MNM762000,C3P96FM3MP-DSA
MNM763000,C3P96FM3MP-DSA
MNM801000,C3P96FM3MP-DSA
MNM804000,C3P96FM3MP-DSA
MNM811000,C3P96FM3MP-DSA
MNM812000,C3P96FM3MP-DSA
MNM859000,C3P96FM3MP-DSA
MNM940000,C3P96FM3MP-DSA
MNM596000,C6M48MM3LP-DP
MNM837000,C6M48MM3LP-DP
MNM571000,C3P96FM3MP-DST
MNM631000,C3P96FM3MP-DST
MNM7200D0,C3P96FM3MP-DST
MNM761000,C3P96FM3MP-DST
MNM934000,C3P96FM3MP-DST
MNM9390A0,C3P96FM3MP-DST
MNM941000,C3P96FM3MP-DST
MNM992000,C3P96FM3MP-DST
MNN036000,C3P96FM3MP-DST
MNN076000,C3P96FM3MP-DST
MNN079000,C3P96FM3MP-DST
MNN116000,C3P96FM3MP-DST
MNN121000,C3P96FM3MP-DST
MNN150000,C3P96FM3MP-DST
MNN913000,C3P96FM3MP-DST
MNM571000,C3P96FM3MP-DSA
