PART_NO,EQP_NO,QTY,PM,TS,MFG_MONTH,Tool.MFG_MONTH,Tool.TOOL_ID,Tool.M_NUM,Tool.UP_TIME,Tool.C_UP_TIME,Tool.LOT_SIZE,Tool.C_LOT_SIZE,Tool.EQP_UTIL,Tool.C_EQP_UTIL,Tool.EQP_AVAIL_RATE,Tool.TC,Tool.PROCESS_TIME,Tool.PROCESS_JOBTIME,Tool.INLINE_CT_LOT,Tool.INLINE_CT_WAFER,Tool.MOVE_QTY,Tool.C_TC,Tool.ENG_LOT_RATE,Tool.HOT_LOT_RATE,Tool.BACKUP_BY_RATE,Tool.BACKUP_FOR_RATE,Tool.RWORK_LOT_RATE,Tool.QUE_LOT_RATE,Tool.SAMPLING_RATE,Tool.NUM_RECIPE,Tool.CHANGE_RECIPE
85-ECT0010,ECT11,4,4.0,0.0,202002,202002.0,ECT11,2.0,0.974800247,0.065937214,23.63955119,0.33106018,0.584585246,0.36399211,1.173211781,1.775943073,1.652353514,1.476382655,0.232783687,0.236082802,16855.0,0.4350095,0.035123109,0.028359537,0.0,0.0,0.002669831,0.943043607,0.0,40.0,0.866760168
85-ECT0010,ECT11,3,3.0,0.0,202003,202003.0,ECT11,2.0,0.973831755,0.054346697,23.85544373,0.471191482,0.575638754,0.383216266,1.202653248,1.866142473,1.669099065,1.484261462,0.20177526,0.206544845,26074.0,0.429596587,0.028419115,0.038620848,0.0,0.0,0.006213086,0.898212779,0.0,73.0,0.9021043
85-ECT0010,ECT11,3,3.0,0.0,202004,202004.0,ECT11,2.0,0.975349277,0.04966577,24.00178412,0.435963143,0.565856287,0.396940664,1.119982159,1.620626245,1.60884602,1.42649668,0.173283248,0.175660343,26906.0,0.459579891,0.019735375,0.050249015,0.0,0.0,0.00624396,0.882814242,0.0,72.0,0.891168599
85-ECT0010,ECT11,3,3.0,0.0,202005,202005.0,ECT11,2.0,0.96365686,0.048060044,23.75872093,0.404416743,0.502287684,0.447772199,0.979166667,1.31750336,1.471418497,1.305265127,0.181889154,0.178703437,24519.0,0.463656963,0.023736694,0.050817733,0.0,0.0,0.001590603,0.894000571,0.0,73.0,0.864341085
85-ECT0010,ECT11,6,6.0,0.0,202006,202006.0,ECT11,2.0,0.943024613,0.047790139,23.04118774,0.38598922,0.509898258,0.439425553,1.172413793,1.349186137,1.428795764,1.268233557,0.272841879,0.258586019,24055.0,0.436681148,0.026023696,0.037913116,0.0,0.005196425,0.000415714,0.847266681,0.0,78.0,0.856321839
85-ECT0010,ECT11,3,3.0,0.0,202007,202007.0,ECT11,2.0,0.955389191,0.046306804,23.00245298,0.361459906,0.61542921,0.362421736,1.433769419,1.694579125,1.555968702,1.379589352,0.319022194,0.308694013,28132.0,0.411426558,0.02289208,0.029610408,0.0,0.006256221,0.000426561,0.867090857,0.0,90.0,0.873262469
85-ECT0010,ECT11,4,4.0,0.0,202008,202008.0,ECT11,2.0,0.968557504,0.045048534,23.5229741,0.332923758,0.638673607,0.346851513,1.461570593,1.987334475,1.737660355,1.510037594,0.290720764,0.279799786,28157.0,0.43571939,0.029086906,0.047448237,0.0,0.002734666,0.000142061,0.904819405,0.0,95.0,0.873015873
85-ECT0010,ECT11,4,4.0,0.0,202009,202009.0,ECT11,2.0,0.969011865,0.044987021,23.49194991,0.315601015,0.631039974,0.348338371,1.560375671,2.056084127,1.849086663,1.5884516,0.311286089,0.302349408,26264.0,0.466443032,0.035790436,0.063242461,0.0,0.003655193,0.000761499,0.895560463,0.0,61.0,0.849731664
85-ECT0010,ECT11,4,4.0,0.0,202010,202010.0,ECT11,2.0,0.977547554,0.044632286,23.54873646,0.299460572,0.620330249,0.351933192,1.676444043,2.017039533,1.882859757,1.59689656,0.366661402,0.368237112,26092.0,0.477304558,0.027518013,0.054806071,0.0,0.002682815,0.000689867,0.890042925,0.0,61.0,0.833032491
85-ECT0010,ECT11,4,4.0,0.0,202011,202011.0,ECT11,2.0,0.975172597,0.044590045,23.63876652,0.285190086,0.617429286,0.350740645,1.791189427,2.006329201,1.861780225,1.573178169,0.352906704,0.354132682,26830.0,0.472189126,0.019865822,0.042415207,0.0,0.023667536,0.0,0.890607529,0.0,57.0,0.843171806
85-ECT0010,ECT11,4,4.0,0.0,202012,202012.0,ECT11,2.0,0.971219521,0.044448965,23.52485257,0.275333149,0.642706308,0.334894658,1.820556024,2.027753453,1.82111977,1.553045259,0.306195133,0.31019962,27923.5,0.463019702,0.018657785,0.043475147,0.0,0.117604928,0.001790574,0.842536886,0.0,56.0,0.854254423
85-ECT0010,ECT11,4,4.0,0.0,202101,202101.0,ECT11,2.0,0.972789952,0.044437736,23.4973913,0.265695474,0.636481647,0.337287892,1.823043478,2.051173088,1.86798285,1.583957971,0.300459189,0.305522358,27021.5,0.472388485,0.019021538,0.070017023,0.0,0.177225964,0.004107764,0.752757013,0.0,57.0,0.860869565
85-ECT0010,ECT11,3,3.0,0.0,202102,202102.0,ECT11,2.0,0.975466204,0.044699981,23.31369151,0.258819641,0.636128057,0.337536244,1.928509532,2.072969349,1.868012709,1.574911179,0.334819388,0.336310275,26903.5,0.461561888,0.023342254,0.071625037,0.0,0.168004758,0.002490336,0.722643473,0.0,58.0,0.868284229
85-ECT0010,ECT11,4,4.0,0.0,202103,202103.0,ECT11,2.0,0.960721387,0.045039076,23.09608844,0.253194817,0.641534107,0.33491451,2.051020408,2.041803763,1.81797808,1.537481104,0.325567445,0.330781181,27160.0,0.446261598,0.035381613,0.075549501,0.0,0.160929274,0.003424027,0.730348662,0.0,67.0,0.868197279
85-ECT0010,ECT12,4,4.0,0.0,202002,202002.0,ECT12,2.0,0.960458508,0.06673654,23.38832117,0.340797723,0.730678803,0.290273652,2.569521691,1.43029595,1.723476394,1.610549994,0.270111724,0.275367625,16021.0,0.459374375,0.006616316,0.048561263,0.0,0.0,0.001248362,0.84102116,0.0,34.0,0.886131387
85-ECT0010,ECT12,7,7.0,0.0,202003,202003.0,ECT12,2.0,0.956346214,0.055255855,23.5061296,0.478201563,0.80518927,0.273521137,2.592336683,1.247871695,1.702986984,1.54471629,0.38761268,0.389018006,26844.0,0.516277366,0.006630904,0.04179705,0.0,0.0,0.003240948,0.854604381,0.0,66.0,0.866024518
85-ECT0010,ECT12,5,5.0,0.0,202004,202004.0,ECT12,2.0,0.959169818,0.05045621,23.57416667,0.443659233,0.85104521,0.263700966,2.617548747,1.16697158,1.624197772,1.458083565,0.373296064,0.382457488,28289.0,0.534559407,0.004560076,0.036445261,0.0,0.0,0.003888437,0.861960479,0.0,77.0,0.859166667
85-ECT0010,ECT12,5,5.0,0.0,202005,202005.0,ECT12,2.0,0.964230144,0.04800419,23.77407741,0.403964785,0.799030968,0.281251516,2.309293905,1.160518489,1.602280225,1.452126668,0.275061964,0.28027538,26413.0,0.519624213,0.003634574,0.041494719,0.0,0.0,0.001627986,0.844735547,0.0,72.0,0.889288929
85-ECT0010,ECT12,5,5.0,0.0,202006,202006.0,ECT12,2.0,0.960893671,0.046878043,24.07219251,0.369308979,0.818201768,0.273685845,1.975670618,1.152741632,1.66310061,1.50720524,0.262393581,0.260693383,27009.0,0.51047092,0.002591729,0.069458329,0.0,0.0,0.0,0.792957903,0.0,75.0,0.904634581
85-ECT0010,ECT12,6,6.0,0.0,202007,202007.0,ECT12,2.0,0.964567135,0.045850262,23.99434115,0.346389628,0.869235283,0.256515288,2.041857798,1.184340481,1.705588366,1.536964991,0.371274907,0.35478797,29681.0,0.533284246,0.002055187,0.065125838,0.0,0.0,0.000269533,0.73211819,0.0,84.0,0.889248181
85-ECT0010,ECT12,5,5.0,0.0,202008,202008.0,ECT12,2.0,0.968492121,0.045041604,23.37112561,0.334959815,0.834683083,0.265299818,2.22969024,1.54502265,1.668461588,1.513555588,0.374728993,0.37127677,28653.0,0.530210208,0.00198932,0.042369036,0.0,0.0,0.001221513,0.682895334,0.0,78.0,0.876019576
85-ECT0010,ECT12,4,4.0,0.0,202009,202009.0,ECT12,2.0,0.972717547,0.044810464,23.17428088,0.319814714,0.802611281,0.273767346,2.151048493,1.991258477,1.67964941,1.571268749,0.345307009,0.387447473,27392.0,0.454357303,0.001569801,0.069180783,0.0,0.0,0.001058703,0.681476343,0.0,63.0,0.906091371
85-ECT0010,ECT12,6,6.0,0.0,202010,202010.0,ECT12,2.0,0.966901287,0.045115135,23.71112999,0.297325347,0.834218922,0.261621644,2.383697135,2.039397766,1.796441943,1.686487797,0.468120429,0.496953408,27908.0,0.440440708,0.002257417,0.071126559,0.0,0.0,0.000967465,0.773971621,0.0,57.0,0.922684792
85-ECT0010,ECT12,6,6.0,0.0,202011,202011.0,ECT12,2.0,0.958054624,0.045374498,23.83319221,0.282793074,0.854840456,0.253272904,2.928900592,2.09309907,1.810444554,1.678192341,0.442442739,0.44699229,28147.0,0.470867879,0.003801471,0.0452979,0.0,0.0,0.001776388,0.832380005,0.0,46.0,0.889077053
85-ECT0010,ECT12,7,7.0,0.0,202012,202012.0,ECT12,2.0,0.951426531,0.045360339,23.70918367,0.273128223,0.867019994,0.248205689,3.2353125,2.144309034,1.785354167,1.613904688,0.338024154,0.350371548,27882.0,0.49305144,0.00416039,0.054228535,0.0,0.0,0.000896636,0.86288645,0.0,47.0,0.848639456
85-ECT0010,ECT12,5,5.0,0.0,202101,202101.0,ECT12,2.0,0.944479493,0.045756109,23.60443308,0.264431962,0.88389054,0.242845066,3.347786537,2.159391915,1.770171653,1.590844114,0.283248089,0.297229686,27688.0,0.499789931,0.003322739,0.067177116,0.0,0.0,0.000505634,0.84419243,0.0,46.0,0.855924979
85-ECT0010,ECT12,5,5.0,0.0,202102,202102.0,ECT12,2.0,0.962689526,0.045285642,23.61152263,0.255502934,0.895572294,0.239728294,3.154459539,2.192931777,1.79066647,1.586813677,0.364213312,0.371012158,28688.0,0.495068976,0.004531511,0.086726157,0.0,0.0,0.000488009,0.786461238,0.0,48.0,0.86255144
85-ECT0010,ECT12,6,6.0,0.0,202103,202103.0,ECT12,2.0,0.959802416,0.045074251,23.75123558,0.246166196,0.899971663,0.238718087,3.097449909,2.194423309,1.867648587,1.646835829,0.398110734,0.395773013,28834.0,0.499746971,0.004855379,0.094402442,0.0,0.0,0.000624263,0.802698204,0.0,51.0,0.860790774
85-ECT0010,ECT13,8,8.0,0.0,202002,202002.0,ECT13,2.0,0.926191511,0.068979487,23.81347774,0.340799797,0.964795465,0.219726306,1.459958217,1.125302639,1.781762999,1.312994622,1.300946229,1.253548748,19789.0,0.554741085,0.01212795,0.01778766,0.0,0.0,0.009449694,0.620344636,0.0,68.0,0.667870036
85-ECT0010,ECT13,7,7.0,0.0,202003,202003.0,ECT13,2.0,0.913985794,0.0577326,23.9711838,0.468996124,0.957840833,0.229921627,1.481415137,1.117041054,1.760904986,1.296298701,1.278928058,1.174113384,30779.0,0.561233735,0.013125833,0.016894636,0.0,0.0,0.011143962,0.574872478,0.0,106.0,0.707165109
85-ECT0010,ECT13,6,6.0,0.0,202004,202004.0,ECT13,2.0,0.926716364,0.052162465,23.61572373,0.442669605,0.901919857,0.248706305,1.587948604,1.074882888,1.550039999,1.215954561,0.842035232,0.715836329,32141.0,0.584655917,0.014965309,0.022899101,0.0,0.0,0.009769453,0.635730064,0.0,118.0,0.831741367
85-ECT0010,ECT13,6,6.0,0.0,202005,202005.0,ECT13,2.0,0.946821328,0.048844632,23.37155298,0.410706854,0.877690163,0.255924249,1.649930588,1.08415233,1.478933236,1.213742095,0.38608461,0.326660762,32206.0,0.580284816,0.018040117,0.02965286,0.0,0.0,0.008849283,0.73520462,0.0,115.0,0.873004354
85-ECT0010,ECT13,4,4.0,0.0,202006,202006.0,ECT13,2.0,0.94025196,0.047872275,23.08997805,0.384825258,0.887142528,0.252337881,1.609153206,1.138661548,1.558149916,1.300463371,0.388029399,0.373440819,31564.0,0.570898724,0.025788873,0.029939171,0.0,0.0,0.0167596,0.774996832,0.0,112.0,0.890270666
85-ECT0010,ECT13,8,8.0,0.0,202007,202007.0,ECT13,2.0,0.928913447,0.047581307,22.41696365,0.370579623,0.861688747,0.258670099,1.514853978,1.181038012,1.516250559,1.300451214,0.418509788,0.427440838,31451.0,0.558088728,0.026422053,0.029538012,0.0,0.003306731,0.02813901,0.723093065,0.0,129.0,0.878118318
85-ECT0010,ECT13,4,4.0,0.0,202008,202008.0,ECT13,2.0,0.945940983,0.046092397,22.17042042,0.352940413,0.84736562,0.261239453,1.420571429,1.614366887,1.663386984,1.43586254,0.445114623,0.449967412,29530.5,0.543977268,0.029833057,0.042904067,0.0,0.00460533,0.023839355,0.658629914,0.0,130.0,0.852102102
85-ECT0010,ECT13,7,7.0,0.0,202009,202009.0,ECT13,2.0,0.946135425,0.046049401,22.30561971,0.33213684,0.876290815,0.250693689,1.461918605,2.171000761,1.790136951,1.538190084,0.629793658,0.612208934,28974.0,0.517310158,0.034167386,0.046695427,0.0,0.002001726,0.021466782,0.679896462,0.0,83.0,0.852963818
85-ECT0010,ECT13,5,5.0,0.0,202010,202010.0,ECT13,2.0,0.942027005,0.046287727,22.46436782,0.313716039,0.865489629,0.252111978,1.304398148,2.062812997,1.751585487,1.524849859,0.660996208,0.639717359,29315.5,0.51007277,0.030802292,0.040865057,0.0,0.002660663,0.021012416,0.661174785,0.0,80.0,0.856704981
85-ECT0010,ECT13,6,5.0,1.0,202011,202011.0,ECT13,2.0,0.955137052,0.045499687,22.7888707,0.295661523,0.801059822,0.270189943,1.25914817,1.923839962,1.690577718,1.466369726,0.522432319,0.482259468,27848.0,0.542281039,0.027003735,0.051170641,0.0,0.002046826,0.01062913,0.637316863,0.0,74.0,0.85106383
85-ECT0010,ECT13,5,5.0,0.0,202012,202012.0,ECT13,2.0,0.946750919,0.045569909,22.74006359,0.284687233,0.833063269,0.258258686,1.366939891,1.959520432,1.631643139,1.395922435,0.621386808,0.61926744,28606.5,0.57223491,0.023211102,0.055196281,0.0,0.004544342,0.010277205,0.746530569,0.0,80.0,0.825119237
85-ECT0010,ECT13,7,7.0,0.0,202101,202101.0,ECT13,2.0,0.941872989,0.045868744,22.38714499,0.278733447,0.871054712,0.246383536,1.321989529,1.931398613,1.620124927,1.387147033,0.700309452,0.742408116,29953.0,0.569823625,0.022935167,0.038292048,0.0,0.038392201,0.015189958,0.74704547,0.0,82.0,0.822869955
85-ECT0010,ECT13,5,5.0,0.0,202102,202102.0,ECT13,2.0,0.949866823,0.045885368,22.61904762,0.266647856,0.872238489,0.246104328,1.359144167,1.9025166,1.627799711,1.357247976,0.637405922,0.642114907,30874.5,0.591058384,0.01817004,0.040356275,0.0,0.097101215,0.009327935,0.694607287,0.0,83.0,0.826373626
85-ECT0010,ECT13,6,6.0,0.0,202103,202103.0,ECT13,2.0,0.957588591,0.045169797,22.72114695,0.257268058,0.8971258,0.239452138,1.34965035,1.935424272,1.651848013,1.393095516,0.532582238,0.517010623,31695.5,0.570653927,0.017257698,0.062436901,0.0,0.11017163,0.002366229,0.741418476,0.0,81.0,0.851612903
85-ECT0010,ECT14,6,6.0,0.0,202002,202002.0,ECT14,2.0,0.905669874,0.070355348,23.65222482,0.348864408,0.702075949,0.301055392,0.926814988,1.577315476,1.531459797,1.350690216,0.307295136,0.312492745,20199.0,0.396049954,0.001831774,0.001534729,0.0,0.0,0.015495817,0.713698698,0.0,34.0,0.857142857
85-ECT0010,ECT14,7,7.0,0.0,202003,202003.0,ECT14,2.0,0.917736522,0.057407555,23.25521268,0.483393122,0.639856039,0.343701654,1.042535446,1.749265957,1.590437633,1.391846446,0.28615566,0.288220402,27883.0,0.418008835,0.003084317,0.007531471,0.0,0.0,0.0128035,0.706487824,0.0,61.0,0.857381151
85-ECT0010,ECT14,4,4.0,0.0,202004,202004.0,ECT14,2.0,0.941786919,0.051266724,23.07811081,0.452725035,0.585805207,0.38263829,1.167574932,1.792390249,1.654661419,1.447368806,0.234144349,0.233889641,25409.0,0.461537142,0.004486599,0.008815774,0.0,0.0,0.007910583,0.744578693,0.0,59.0,0.868301544
85-ECT0010,ECT14,6,6.0,0.0,202005,202005.0,ECT14,2.0,0.952730528,0.048503309,23.36315789,0.410638664,0.591258158,0.379674997,0.993859649,1.737162618,1.61270614,1.416732212,0.217332095,0.207961971,26634.0,0.436697668,0.006495457,0.016820605,0.0,0.0,0.009123677,0.729743936,0.0,65.0,0.857017544
85-ECT0010,ECT14,4,4.0,0.0,202006,202006.0,ECT14,2.0,0.943991787,0.047648827,23.3528,0.380312654,0.645596805,0.346519524,0.8672,1.779996124,1.591587556,1.383421111,0.26216125,0.258198476,29191.0,0.398041211,0.007742112,0.020108938,0.0,0.002706314,0.008016169,0.705320133,0.0,71.0,0.8584
