PART_NO,EQP_NO,STOCK_EVENT_TIME,QTY,PM,TS,ENG,NST,MFG_MONTH,TOOL_ID,M_NUM,UP_TIME,C_UP_TIME,LOT_SIZE,C_LOT_SIZE,EQP_UTIL,C_EQP_UTIL,EQP_AVAIL_RATE,TC,PROCESS_TIME,PROCESS_JOBTIME,INLINE_CT_LOT,INLINE_CT_WAFER,MOVE_QTY,C_TC,ENG_LOT_RATE,HOT_LOT_RATE,BACKUP_BY_RATE,BACKUP_FOR_RATE,RWORK_LOT_RATE,QUE_LOT_RATE,SAMPLING_RATE,NUM_RECIPE,CHANGE_RECIPE,Holiday,Days
85-ECT0010,ECT11,2020-02-29,4,4.0,0.0,0.0,0.0,202002,ECT11,2.0,0.972893572,0.043518305,23.68164063,0.326571111,0.575409892,0.357404006,1.234375,1.893320473,1.676800673,1.503065321,0.23423428,0.241556986,12125.0,0.416923542,0.033649485,0.027876289,0,0.0,0.002721649,0.932041237,0,39,0.900390625,10,29
85-ECT0010,ECT12,2020-02-29,4,4.0,0.0,0.0,0.0,202002,ECT12,2.0,0.962312328,0.043899147,23.20916335,0.33932058,0.716115329,0.286252288,2.482522796,1.420735835,1.724357058,1.604329618,0.309346593,0.312926098,11651.0,0.455888026,0.008926272,0.049523646,0,0.0,0.001716591,0.831430778,0,33,0.890438247,10,29
85-ECT0010,ECT13,2020-02-29,8,8.0,0.0,0.0,0.0,202002,ECT13,2.0,0.920703947,0.045761109,23.95352564,0.334927607,0.963887004,0.21284704,1.475252062,1.108095967,1.741301558,1.264535085,1.216855374,1.154508495,14947.0,0.542498692,0.013046096,0.016926474,0,0.0,0.010838295,0.564728708,0,60,0.644230769,10,29
85-ECT0010,ECT14,2020-02-29,6,6.0,0.0,0.0,0.0,202002,ECT14,2.0,0.909254007,0.046259577,23.56369427,0.346177901,0.687641222,0.297446254,0.922770701,1.630407197,1.511169055,1.339385173,0.296687179,0.300387907,14798.0,0.369927093,0.002500338,0.002094878,0,0.0,0.015339911,0.675091229,0,31,0.847133758,10,29
85-ECT0010,ECT15,2020-02-29,5,5.0,0.0,0.0,0.0,202002,ECT15,2.0,0.965445582,0.043485953,22.67378641,0.364853767,0.786660814,0.259230301,2.374847375,1.191639073,1.653356397,1.489273504,0.307614992,0.337681448,11677.0,0.536439012,0.034341012,0.096600154,0,0.0,0.001712769,0.905968999,0,38,0.875728155,10,29
85-ECT0010,ECT16,2020-02-29,0,0.0,0.0,0.0,0.0,202002,ECT16,2.0,0.998967026,0.042168347,23.93617021,0.351010558,0.019894965,10.60750913,0.5,0.542893519,0.702565012,0.595130024,0.047968381,0.048647356,1125.0,0.44076013,0.002666667,0.132444444,0,0.0,0.0,0.024,0,5,0.553191489,10,29
85-ECT0010,ECT17,2020-02-29,7,7.0,0.0,0.0,0.0,202002,ECT17,2.0,0.93267746,0.045026181,24.03515625,0.354776751,0.941726991,0.224093554,2.264417845,1.263857915,1.983047697,1.569033672,0.412758773,0.422256879,12306.0,0.534264881,0.001462701,0.041036893,0,0.0,0.012351698,0.909881359,0,63,0.884765625,10,29
85-ECT0010,ECT18,2020-02-29,5,5.0,0.0,0.0,0.0,202002,ECT18,2.0,0.927583452,0.045141748,23.73556797,0.364133008,0.741444347,0.283737929,1.572625698,1.943463164,1.948334368,1.773739396,0.42904099,0.435743529,12746.0,0.378757284,0.001019928,0.037737329,0,0.0,0.002039856,0.956849208,0,41,0.910614525,10,29
85-ECT0010,ECT19,2020-02-29,3,3.0,0.0,0.0,0.0,202002,ECT19,2.0,0.964966921,0.043310808,22.38968481,0.390177767,0.379685452,0.557135092,0.793696275,1.627501864,1.836840974,1.493311047,0.522799931,0.534139303,7814.0,0.496465639,0.005246993,0.141540824,0,0.0,0.008318403,0.973893013,0,23,0.802292264,10,29
85-ECT0010,ECT22,2020-02-29,2,2.0,0.0,0.0,0.0,202002,ECT22,2.0,0.987052598,0.042383723,23.11961722,0.382138715,0.428576738,0.495114463,1.81937799,1.813483885,1.664700292,1.442857523,0.449642893,0.413982026,9664.0,0.473948273,0.012003311,0.042425497,0,0.0,0.01107202,0.564362583,0,29,0.76076555,10,29
85-ECT0010,ECT24,2020-02-29,7,7.0,0.0,0.0,0.0,202002,ECT24,3.0,0.963080022,0.043348699,21.87318362,0.407554717,0.742168357,0.285037361,1.103541186,1.872425,2.061035091,1.815833013,0.679075223,0.782124554,16558.0,0.44011002,0.00978379,0.033095785,0,0.248037203,0.011776785,0.69428675,0,97,0.963011889,10,29
85-ECT0010,ECT61,2020-02-29,2,2.0,0.0,0.0,0.0,202002,ECT61,2.0,0.98316183,0.042475846,24.20926244,0.372608092,0.490111414,0.431960935,0.939208294,0.606229983,0.849642109,0.694538957,0.161331815,0.170105708,14114.0,0.516562249,0.003967692,0.043786311,0,0.0,0.002408956,0.921000425,0,48,0.670668954,10,29
85-ECT0010,ECT62,2020-02-29,5,5.0,0.0,0.0,0.0,202002,ECT62,2.0,0.894916133,0.046683555,24.40727273,0.373869903,0.647015196,0.326353948,1.858333333,0.499898467,0.871001029,0.758319959,0.10137381,0.104488482,20136.0,0.452274949,0.000794597,0.011769964,0,0.0,4.97e-05,0.0,0,16,0.876363636,10,29
85-ECT0010,ECT63,2020-02-29,5,5.0,0.0,0.0,0.0,202002,ECT63,2.0,0.969591849,0.043026107,21.74226804,0.422851656,0.583729677,0.361135665,1.047680412,2.470285388,2.594119416,2.00560925,1.061380208,1.185415474,8436.0,0.517527755,0.017069701,0.022759602,0,0.0,0.01173542,0.66571835,0,36,0.744845361,10,29
85-ECT0010,ECT65,2020-02-29,3,3.0,0.0,0.0,0.0,202002,ECT65,2.0,0.97468885,0.042763692,23.52316076,0.394522486,0.577418941,0.36452083,0.89373297,2.620121951,2.832859522,2.185927187,0.857173277,0.870997621,8633.0,0.51752223,0.001969188,0.059423144,0,0.0,0.002664196,0.598748986,0,21,0.757493188,10,29
85-ECT0010,ECT66,2020-02-29,10,10.0,0.0,0.0,0.0,202002,ECT66,3.0,0.942700399,0.044083681,23.18587361,0.403693382,0.888490943,0.23662023,1.140829694,1.878004167,2.11502335,1.974811984,0.768498365,0.855149869,18711.0,0.447548756,0.010154455,0.019614131,0,0.0,0.00748223,0.833466945,0,64,0.957868649,10,29
85-ECT0010,ECT69,2020-02-29,9,9.0,0.0,0.0,0.0,202002,ECT69,3.0,0.948958922,0.04366959,17.98816568,0.521778907,0.756816489,0.276984227,0.766030348,2.403660207,3.563069016,2.753176293,1.185283794,1.576171011,6080.0,0.514806083,0.0,0.055592105,0,0.085032895,0.020230263,0.0,0,39,0.686390533,10,29
85-ECT0010,ECT70,2020-02-29,7,7.0,0.0,0.0,0.0,202002,ECT70,3.0,0.937605859,0.044068529,23.25935484,0.406792593,0.656716238,0.318363255,0.783225806,1.81548103,1.922501792,1.667737276,0.497694325,0.508887429,18026.0,0.460162944,0.008043937,0.020525907,0,0.0,0.005270165,0.952402086,0,28,0.934193548,10,29
85-ECT0010,ECT72,2020-02-29,6,6.0,0.0,0.0,0.0,202002,ECT72,2.0,0.926331708,0.044487968,22.6199187,0.42122193,0.534755437,0.390767374,0.833333333,1.464897959,1.503967931,1.351224029,0.281890856,0.298589913,11129.0,0.403000448,0.013118879,0.037289963,0,0.0,0.002156528,0.979692695,0,19,0.782520325,10,29
85-ECT0010,EHT01,2020-02-29,6,6.0,0.0,0.0,0.0,202002,EHT01,2.0,0.960826243,0.041746583,22.42362205,0.470246848,0.868104343,0.252550848,0.991911765,1.659238683,1.795532271,1.710171569,0.543651484,0.55742307,14239.0,0.282604682,0.01404593,0.120233162,0,0.001755741,0.001685512,0.633682141,0,66,0.94015748,10,29
85-ECT0010,EHT02,2020-02-29,6,6.0,0.0,0.0,0.0,202002,EHT02,2.0,0.939336198,0.042591681,22.49815498,0.47001351,0.581434806,0.376384064,1.468634686,2.014488017,2.4850123,1.91697007,0.342878656,0.360281117,6097.0,0.486575718,0.000984091,0.007380679,0,0.0,0.003772347,0.974249631,0,21,0.730627306,10,29
85-ECT0010,EHT03,2020-02-29,6,6.0,0.0,0.0,0.0,202002,EHT03,2.0,0.933527193,0.042750642,22.10445205,0.479560551,0.962077007,0.227714283,1.102754237,1.289624803,1.981170257,1.483572564,1.45827333,1.231519894,12909.0,0.536696198,0.020605779,0.071268108,0,0.000464792,0.007901464,0.667673716,0,71,0.761986301,10,29
85-ECT0010,EHT04,2020-02-29,5,5.0,0.0,0.0,0.0,202002,EHT04,2.0,0.966239026,0.041239537,23.6,0.450704463,0.889633505,0.24608788,0.776110444,1.187547619,1.486836068,1.391440576,0.965446651,0.899685682,19116.0,0.21250144,0.008683825,0.028143963,0,0.0,0.002092488,0.896683407,0,51,0.896296296,10,29
85-ECT0010,EHT05,2020-02-29,5,5.0,0.0,0.0,0.0,202002,EHT05,2.0,0.949112621,0.041881168,22.93606138,0.46506358,0.738126309,0.29586541,0.937614679,1.905067444,2.457530071,1.797755352,0.979276355,0.969163461,8968.0,0.552604733,0.006690455,0.067573595,0,0.0,0.008363069,0.699933095,0,24,0.621483376,10,29
85-ECT0010,EHT06,2020-02-29,7,7.0,0.0,0.0,0.0,202002,EHT06,2.0,0.953011572,0.041613546,23.0021978,0.465014402,0.665999009,0.327102122,1.850549451,2.001381944,2.210630647,1.935450549,0.443395833,0.426141707,10466.0,0.44301598,0.004395184,0.020829352,0,0.0,0.02054271,0.675425186,0,26,0.874725275,10,29
85-ECT0010,EHT07,2020-02-29,6,6.0,0.0,0.0,0.0,202002,EHT07,2.0,0.935907324,0.042269433,23.56521739,0.455296575,0.618551998,0.351439141,1.420289855,1.988005051,2.291983092,1.991855878,0.468724503,0.480658431,8130.0,0.437182806,0.001230012,0.034563346,0,0.0,0.005535055,0.632841328,0,25,0.820289855,10,29
85-ECT0010,EHT09,2020-02-29,3,3.0,0.0,0.0,0.0,202002,EHT09,2.0,0.918256149,0.043010527,22.71753986,0.473417818,0.522977153,0.415330511,0.581836327,1.40841293,1.511723775,1.340977489,0.348679655,0.34498359,9973.0,0.519420804,0.032788529,0.021157124,0,0.0,0.0,0.671112002,0,37,0.772209567,10,29
85-ECT0010,EHT51,2020-02-29,6,6.0,0.0,0.0,0.0,202002,EHT51,3.0,0.965996435,0.040823132,22.26895565,0.483935601,0.566734076,0.382674852,1.017167382,1.759842238,2.042752742,1.643229216,0.491788385,0.503403254,15566.0,0.506921559,0.026210973,0.09013234,0,0.067583194,0.0,0.750224849,0,27,0.902718169,10,29
85-ECT0010,EUT01,2020-02-29,4,4.0,0.0,0.0,0.0,202002,EUT01,3.0,0.965168592,0.04024828,13.93411765,0.803189413,0.423387978,0.509015969,0.475294118,4.254019274,2.159493464,1.907534641,0.359700327,0.467889979,5922.0,0.319871842,0.441067207,0.467071935,0,0.005910165,0.108409321,0.686592367,0,81,0.952941176,10,29
85-ECT0010,EUT02,2020-02-29,5,5.0,0.0,0.0,0.0,202002,EUT02,2.0,0.957299162,0.040507743,23.59160305,0.474933873,0.74965703,0.286897433,3.034351145,3.89406401,4.254756149,3.845891645,0.574125937,0.581114667,6181.0,0.381876904,0.001132503,0.025885779,0,0.0,0.000161786,0.999029283,0,7,0.874045802,10,29
85-ECT0010,EUT51,2020-02-29,5,5.0,0.0,0.0,0.0,202002,EUT51,2.0,0.937136313,0.041291565,21.38041002,0.524127876,0.905011914,0.237607606,2.07238806,1.585145601,2.402414594,2.078137231,0.485473501,0.551814224,9386.0,0.535243351,0.001065417,0.002770083,0,0.0,0.000106542,0.999893458,0,29,0.820045558,10,29
85-ECT0010,EUT52,2020-02-29,5,5.0,0.0,0.0,0.0,202002,EUT52,2.0,0.949850374,0.040656825,17.03448276,0.657022313,0.902124679,0.238310589,1.663507109,1.847487374,2.147293312,1.965918027,0.56938427,0.625864031,8892.0,0.328176456,0.141025641,0.146648673,0,0.004161044,0.000899685,0.994939271,0,94,0.942528736,10,29
85-ECT0010,EUT53,2020-02-29,10,10.0,0.0,0.0,0.0,202002,EUT53,3.0,0.921616291,0.041835434,21.48282443,0.521057785,0.961561758,0.223803935,1.476974687,1.643934121,2.8779816,2.095052608,0.482165167,0.486527979,11257.0,0.566983195,0.033490273,0.070267389,0,0.001599005,0.00097717,0.996091321,0,61,0.713740458,10,29
85-ECT0010,EUT54,2020-02-29,7,7.0,0.0,0.0,0.0,202002,EUT54,2.0,0.905701975,0.042554649,22.31940299,0.501764645,0.821614431,0.261544442,2.807462687,3.10076087,3.119146766,3.022533167,0.460461339,0.490892713,7477.0,0.25429542,0.007088404,0.006687174,0,0.0,0.000267487,0.999732513,0,15,0.910447761,10,29
85-ECT0010,EUT55,2020-02-29,11,11.0,0.0,0.0,0.0,202002,EUT55,3.0,0.922592243,0.041706863,23.38821138,0.47926877,0.947826883,0.226863237,1.748488513,2.145750487,3.137842268,2.63128678,0.441458263,0.4410313,11507.0,0.52048472,0.002346398,0.059007561,0,0.0,0.000521422,0.999478578,0,45,0.843495935,10,29
85-ECT0010,EUT56,2020-02-29,4,4.0,0.0,0.0,0.0,202002,EUT56,2.0,0.951418298,0.040365286,21.05088496,0.53244412,0.910751467,0.236065042,1.883233533,1.62241774,2.393628576,2.046141883,0.590376989,0.607351647,9515.0,0.523427859,0.00262743,0.059379926,0,0.0,0.000315292,0.999684708,0,38,0.794247788,10,29
85-ECT0010,EUT57,2020-02-29,4,4.0,0.0,0.0,0.0,202002,EUT57,3.0,0.964660655,0.039760676,24.16774791,0.464333291,0.819061552,0.262101357,0.990526316,0.756255913,1.119239327,0.906617398,0.16208192,0.194767337,26077.0,0.971337623,0.003528013,0.046746175,0,0.000728611,0.005905587,0.116040956,0,30,0.759962929,10,29
