PART_NO,EQP_NO,QTY,PM,TS,MFG_MONTH,Tool.MFG_MONTH,Tool.TOOL_ID,Tool.M_NUM,Tool.UP_TIME,Tool.C_UP_TIME,Tool.LOT_SIZE,Tool.C_LOT_SIZE,Tool.EQP_UTIL,Tool.C_EQP_UTIL,Tool.EQP_AVAIL_RATE,Tool.TC,Tool.PROCESS_TIME,Tool.PROCESS_JOBTIME,Tool.INLINE_CT_LOT,Tool.INLINE_CT_WAFER,Tool.MOVE_QTY,Tool.C_TC,Tool.ENG_LOT_RATE,Tool.HOT_LOT_RATE,Tool.BACKUP_BY_RATE,Tool.BACKUP_FOR_RATE,Tool.RWORK_LOT_RATE,Tool.QUE_LOT_RATE,Tool.SAMPLING_RATE,Tool.NUM_RECIPE,Tool.CHANGE_RECIPE
85-ECT0010,ECT11,4,4.0,0.0,202002,202002.0,ECT11,2.0,0.974800247,0.065937214,23.63955119,0.33106018,0.584585246,0.36399211,1.173211781,1.775943073,1.652353514,1.476382655,0.232783687,0.236082802,16855.0,0.4350095,0.035123109,0.028359537,0.0,0.0,0.002669831,0.943043607,0.0,40.0,0.866760168
85-ECT0010,ECT11,3,3.0,0.0,202003,202003.0,ECT11,2.0,0.974533642,0.055200549,23.87652812,0.470529967,0.570466126,0.387334178,1.20599022,1.85646345,1.666758693,1.483292244,0.183626279,0.187654895,19531.0,0.434135999,0.018995443,0.041626133,0.0,0.0,0.006604885,0.89222262,0.0,70.0,0.902200489
85-ECT0010,ECT11,3,3.0,0.0,202004,202004.0,ECT11,2.0,0.975080435,0.050598276,23.9371293,0.436757835,0.546756441,0.411064838,1.06109134,1.464586227,1.531969158,1.379035851,0.165586406,0.167375994,20179.0,0.453006037,0.021259725,0.057535061,0.0,0.0,0.005302542,0.866445314,0.0,62.0,0.892052195
85-ECT0010,ECT11,3,3.0,0.0,202005,202005.0,ECT11,2.0,0.956659247,0.050017514,23.49331551,0.408480117,0.477995415,0.470646167,0.951203209,1.275135094,1.446669266,1.268436572,0.190524671,0.186010573,17573.0,0.468133153,0.024469356,0.055653559,0.0,0.0,0.002219314,0.89978945,0.0,68.0,0.852941176
85-ECT0010,ECT11,6,6.0,0.0,202006,202006.0,ECT11,2.0,0.924076678,0.050520589,22.82669789,0.389326346,0.561683827,0.398696771,1.239461358,1.433548977,1.439113973,1.28307312,0.305772901,0.289486488,19494.0,0.411184889,0.02416128,0.030214425,0.0,0.006412229,0.000512978,0.845388325,0.0,69.0,0.850117096
85-ECT0010,ECT11,3,3.0,0.0,202007,202007.0,ECT11,2.0,0.954936028,0.047863472,22.91570074,0.362677236,0.638007513,0.35014144,1.417281349,1.782735043,1.565287437,1.38635552,0.33222221,0.31970452,21747.0,0.397112476,0.022945694,0.030762864,0.0,0.00698947,0.000183933,0.876902561,0.0,76.0,0.872497366
85-ECT0010,ECT11,4,4.0,0.0,202008,202008.0,ECT11,2.0,0.967985018,0.046316019,23.48571429,0.333398998,0.629557023,0.352039796,1.410285714,2.03934907,1.790360317,1.540832381,0.299405212,0.288680663,20550.0,0.44537557,0.027785888,0.051386861,0.0,0.002481752,0.000194647,0.902822384,0.0,80.0,0.856
85-ECT0010,ECT11,4,4.0,0.0,202009,202009.0,ECT11,2.0,0.974580927,0.046010381,23.4526699,0.31592672,0.623314422,0.353175854,1.583131068,2.059233207,1.862168285,1.604609628,0.316050094,0.317448324,19325.0,0.46917228,0.034670116,0.061060802,0.0,0.004915912,0.001034929,0.89992238,0.0,59.0,0.843446602
85-ECT0010,ECT11,4,4.0,0.0,202010,202010.0,ECT11,2.0,0.980131734,0.045780762,23.55839416,0.299177518,0.595672427,0.367574458,1.809610706,2.005506536,1.890893823,1.598215396,0.358943563,0.360750031,19365.0,0.483661598,0.024322231,0.051536277,0.0,0.001032791,0.0,0.884379034,0.0,51.0,0.827250608
85-ECT0010,ECT11,4,4.0,0.0,202011,202011.0,ECT11,2.0,0.974677447,0.045953987,23.49364162,0.28700805,0.617202884,0.352143497,1.897687861,1.994871442,1.777918754,1.54615896,0.286640214,0.282750973,20322.0,0.455162255,0.019633894,0.038480465,0.0,0.031246925,0.0,0.89587639,0.0,52.0,0.848554913
85-ECT0010,ECT11,4,4.0,0.0,202012,202012.0,ECT11,2.0,0.97207759,0.045716674,23.49182116,0.275819576,0.651495841,0.33170787,1.845692475,2.03108724,1.773946444,1.535636435,0.273489299,0.281227687,21541.5,0.454604915,0.018986167,0.043496426,0.0,0.152446384,0.002321047,0.811159595,0.0,54.0,0.860414395
85-ECT0010,ECT11,4,4.0,0.0,202101,202101.0,ECT11,2.0,0.974238642,0.045855646,23.56804734,0.265056822,0.624935519,0.345327723,1.850295858,2.044765718,1.879564103,1.598352728,0.303219976,0.305883574,19914.5,0.476888002,0.021641978,0.070198343,0.0,0.18378107,0.005573688,0.731157419,0.0,53.0,0.86035503
85-ECT0010,ECT11,3,3.0,0.0,202102,202102.0,ECT11,2.0,0.975670199,0.046044864,23.18955732,0.260372376,0.638988822,0.337744213,2.007945516,2.087690446,1.886346324,1.568930824,0.351534898,0.354613461,20429.5,0.459905906,0.025599608,0.068673519,0.0,0.161429271,0.001370534,0.729858052,0.0,55.0,0.861520999
85-ECT0010,ECT11,4,4.0,0.0,202103,202103.0,ECT11,2.0,0.96053327,0.046359163,23.14035088,0.252921024,0.620104426,0.348455442,2.165497076,2.027321013,1.839105263,1.550803444,0.302412917,0.308609547,19784.0,0.45600066,0.042001516,0.083447056,0.0,0.156482183,0.004700531,0.721202932,0.0,61.0,0.870175439
85-ECT0010,ECT12,4,4.0,0.0,202002,202002.0,ECT12,2.0,0.960458508,0.06673654,23.38832117,0.340797723,0.730678803,0.290273652,2.569521691,1.43029595,1.723476394,1.610549994,0.270111724,0.275367625,16021.0,0.459374375,0.006616316,0.048561263,0.0,0.0,0.001248362,0.84102116,0.0,34.0,0.886131387
85-ECT0010,ECT12,7,7.0,0.0,202003,202003.0,ECT12,2.0,0.949909615,0.056537438,23.61030235,0.475861242,0.851109776,0.25926813,2.577464789,1.210265748,1.696417145,1.523978656,0.41293439,0.413522879,21084.0,0.528281295,0.00640296,0.041548093,0.0,0.0,0.004126352,0.856289129,0.0,61.0,0.855543113
85-ECT0010,ECT12,5,5.0,0.0,202004,202004.0,ECT12,2.0,0.958143125,0.051442886,23.48122867,0.445019576,0.829242062,0.270769871,2.66518847,1.163871585,1.580992239,1.419543607,0.298441726,0.309159774,20640.0,0.53835492,0.005087209,0.038178295,0.0,0.0,0.003633721,0.855620155,0.0,68.0,0.864618885
85-ECT0010,ECT12,5,5.0,0.0,202005,202005.0,ECT12,2.0,0.962855139,0.049665457,24.18258767,0.396674223,0.810328712,0.277408169,2.230113636,1.136243936,1.645001127,1.481383252,0.287918611,0.288522931,19999.0,0.523715501,0.003750188,0.044852243,0.0,0.0,0.000850043,0.861143057,0.0,61.0,0.885126965
85-ECT0010,ECT12,5,5.0,0.0,202006,202006.0,ECT12,2.0,0.960670381,0.048571407,24.22094361,0.366775558,0.853699265,0.262196596,1.854901961,1.137529951,1.65708061,1.489815904,0.267922921,0.264474402,21048.0,0.516100675,0.001472824,0.078344736,0.0,0.0,0.0,0.778078677,0.0,70.0,0.894131185
85-ECT0010,ECT12,6,6.0,0.0,202007,202007.0,ECT12,2.0,0.962496879,0.047468682,23.97037037,0.346591784,0.88082975,0.253543929,2.085681645,1.19435835,1.731480494,1.565524879,0.413619626,0.39068172,22652.0,0.537185139,0.002692919,0.046353523,0.0,0.0,0.00035317,0.752428042,0.0,66.0,0.887830688
85-ECT0010,ECT12,5,5.0,0.0,202008,202008.0,ECT12,2.0,0.965556304,0.046419235,23.19782609,0.337404947,0.828250063,0.267480701,2.21006813,1.606126658,1.633915174,1.478437001,0.398205028,0.400982257,21342.0,0.535635002,0.001546247,0.033595727,0.0,0.0,0.001452535,0.682785119,0.0,68.0,0.863043478
85-ECT0010,ECT12,4,4.0,0.0,202009,202009.0,ECT12,2.0,0.976641307,0.045910429,23.19369895,0.319342948,0.772977089,0.284669964,2.099447514,2.024784067,1.678418764,1.582250358,0.35246985,0.403699512,19877.0,0.432013477,0.001509282,0.075866579,0.0,0.0,0.000704332,0.71021784,0.0,59.0,0.910151692
85-ECT0010,ECT12,6,6.0,0.0,202010,202010.0,ECT12,2.0,0.958607916,0.046794703,23.80136209,0.296042024,0.837059934,0.261497577,2.592391304,2.049521137,1.821463617,1.706096769,0.467415606,0.485368684,20969.0,0.454248608,0.003004435,0.063999237,0.0,0.0,0.001287615,0.803137966,0.0,42.0,0.917139614
85-ECT0010,ECT12,6,6.0,0.0,202011,202011.0,ECT12,2.0,0.965219933,0.046394678,23.8556701,0.282582835,0.833579241,0.260664194,3.18627451,2.109915213,1.789819024,1.662877302,0.325779125,0.331219215,20826.0,0.468361166,0.003841352,0.044559685,0.0,0.0,0.001200423,0.825074426,0.0,41.0,0.882016037
85-ECT0010,ECT12,7,7.0,0.0,202012,202012.0,ECT12,2.0,0.953302875,0.046603746,23.6609589,0.273782976,0.85878071,0.251591719,3.455691057,2.145248451,1.771409666,1.583755646,0.305821947,0.313291249,20727.0,0.502079304,0.004728132,0.049741883,0.0,0.0,0.0,0.888599411,0.0,41.0,0.831050228
85-ECT0010,ECT12,5,5.0,0.0,202101,202101.0,ECT12,2.0,0.95209028,0.046909867,23.55668934,0.265125419,0.870852437,0.24777049,3.184013322,2.1632494,1.766861643,1.612207188,0.264676196,0.279762638,20777.0,0.483684995,0.002984069,0.079896039,0.0,0.0,0.000673822,0.806805602,0.0,43.0,0.886621315
85-ECT0010,ECT12,5,5.0,0.0,202102,202102.0,ECT12,2.0,0.96889459,0.04636137,23.51970181,0.256664346,0.908596425,0.237506541,3.168573608,2.197036867,1.800658742,1.578207475,0.393914889,0.401322219,22085.0,0.498789009,0.004256283,0.095087163,0.0,0.0,0.0,0.787231152,0.0,48.0,0.860489883
