PART_NO,EQP_NO,QTY,PM,TS,MFG_MONTH,Tool.MFG_MONTH,Tool.TOOL_ID,Tool.M_NUM,Tool.UP_TIME,Tool.C_UP_TIME,Tool.LOT_SIZE,Tool.C_LOT_SIZE,Tool.EQP_UTIL,Tool.C_EQP_UTIL,Tool.EQP_AVAIL_RATE,Tool.TC,Tool.PROCESS_TIME,Tool.PROCESS_JOBTIME,Tool.INLINE_CT_LOT,Tool.INLINE_CT_WAFER,Tool.MOVE_QTY,Tool.C_TC,Tool.ENG_LOT_RATE,Tool.HOT_LOT_RATE,Tool.BACKUP_BY_RATE,Tool.BACKUP_FOR_RATE,Tool.RWORK_LOT_RATE,Tool.QUE_LOT_RATE,Tool.SAMPLING_RATE,Tool.NUM_RECIPE,Tool.CHANGE_RECIPE,Tool.PERCENTILE(BACKUP_BY_RATE),Tool.PERCENTILE(BACKUP_FOR_RATE),Tool.PERCENTILE(CHANGE_RECIPE),Tool.PERCENTILE(C_EQP_UTIL),Tool.PERCENTILE(C_LOT_SIZE),Tool.PERCENTILE(C_TC),Tool.PERCENTILE(C_UP_TIME),Tool.PERCENTILE(ENG_LOT_RATE),Tool.PERCENTILE(EQP_AVAIL_RATE),Tool.PERCENTILE(EQP_UTIL),Tool.PERCENTILE(HOT_LOT_RATE),Tool.PERCENTILE(INLINE_CT_LOT),Tool.PERCENTILE(INLINE_CT_WAFER),Tool.PERCENTILE(LOT_SIZE),Tool.PERCENTILE(MOVE_QTY),Tool.PERCENTILE(M_NUM),Tool.PERCENTILE(NUM_RECIPE),Tool.PERCENTILE(PROCESS_JOBTIME),Tool.PERCENTILE(PROCESS_TIME),Tool.PERCENTILE(QUE_LOT_RATE),Tool.PERCENTILE(RWORK_LOT_RATE),Tool.PERCENTILE(SAMPLING_RATE),Tool.PERCENTILE(TC),Tool.PERCENTILE(UP_TIME)
85-ECT0010,ECT11,4,4.0,0.0,202002,202002.0,ECT11,2.0,0.972893572,0.043518305,23.68164063,0.326571111,0.575409892,0.357404006,1.234375,1.893320473,1.676800673,1.503065321,0.23423428,0.241556986,12125.0,0.416923542,0.033649485,0.027876289,0.0,0.0,0.002721649,0.932041237,0.0,39.0,0.900390625,0.5002721829069134,0.2759934676102341,0.7743603701687534,0.7076755579749592,0.4001088731627654,0.2275449101796407,0.12629286880783885,0.9531845400108874,0.40936309199782256,0.24442025040827436,0.36690255851932496,0.2221012520413718,0.21829069134458357,0.8862275449101796,0.5217746325530757,0.3304300489929232,0.49618943930321174,0.41535111594991836,0.36145890038105605,0.5296679368535656,0.4436581382689167,0.5002721829069134,0.4986056887897379,0.8655416439847577
85-ECT0010,ECT11,3,3.0,0.0,202003,202003.0,ECT11,2.0,0.973865425,0.044432714,24.05663717,0.466238816,0.578626373,0.373427494,1.176106195,1.839069959,1.664550147,1.467710423,0.174891101,0.177685787,13592.0,0.439472526,0.020306062,0.047380812,0.0,0.0,0.009490877,0.869187758,0.0,59.0,0.90619469,0.5002721829069134,0.2759934676102341,0.8018508437670114,0.7441480675013609,0.8633641807294502,0.27163854109961894,0.19433859553620034,0.8688078388677191,0.3799673380511704,0.24986390854654328,0.6298312465977136,0.15351115949918345,0.15242242787152968,0.9515514425694066,0.645890038105607,0.3304300489929232,0.6954273271638541,0.3973870440936309,0.3511159499183451,0.42133913990201416,0.7855198693522046,0.5002721829069134,0.46960401561628556,0.8753402286336418
85-ECT0010,ECT11,3,3.0,0.0,202004,202004.0,ECT11,2.0,0.976875714,0.042867161,23.94604317,0.438837138,0.552786379,0.401617111,1.06294964,1.415835262,1.552240208,1.384615807,0.171649368,0.173592608,13314.0,0.475367877,0.019152772,0.053177107,0.0,0.0,0.002929247,0.896725252,0.0,53.0,0.875899281,0.5002721829069134,0.2759934676102341,0.6820903647250952,0.7915078933043005,0.7909635274904736,0.38704409363091996,0.08219923788786064,0.8562874251497006,0.34349482852476865,0.21829069134458357,0.7049537289058248,0.1497005988023952,0.14643440391943385,0.9352204681545999,0.6298312465977136,0.3304300489929232,0.648339684267828,0.3647250952640174,0.2896026129559064,0.46053347849755033,0.45944474686989656,0.5002721829069134,0.3301728945900725,0.9118127381600436
85-ECT0010,ECT11,3,3.0,0.0,202005,202005.0,ECT11,2.0,0.950483746,0.046461838,23.53991597,0.410592426,0.447116967,0.497790958,0.881302521,1.181351496,1.377013305,1.212578198,0.193849911,0.184776224,11205.0,0.443347474,0.0291834,0.048014279,0.0,0.0,0.0,0.890763052,0.0,55.0,0.850840336,0.5002721829069134,0.2759934676102341,0.5655960805661404,0.8971148611867175,0.7223734349482852,0.2781709308655416,0.412084921066957,0.9341317365269461,0.2618399564507349,0.10669569951007077,0.6363636363636364,0.17201959716929777,0.15841045182362548,0.8573761567773543,0.43549265106151336,0.3304300489929232,0.6668481219379423,0.30593358737071313,0.22972237343494828,0.4518236254763201,0.06314643440391943,0.5002721829069134,0.2543223647518126,0.5432770821992379
85-ECT0010,ECT11,6,6.0,0.0,202006,202006.0,ECT11,2.0,0.935539579,0.047128455,22.62323944,0.396619739,0.570488579,0.389157801,1.416373239,1.507866162,1.472190923,1.314874315,0.339039372,0.322947011,12850.0,0.423709757,0.023268482,0.029105058,0.0,0.009727626,0.00077821,0.809338521,0.0,65.0,0.860915493,0.5002721829069134,0.724006532389766,0.6118671747414263,0.7729994556341862,0.6864452912357104,0.23734349482852476,0.5144256940664126,0.8998366902558519,0.4839412084921067,0.23952095808383234,0.3864997278170931,0.39031028851388133,0.341861731083288,0.5743059335873707,0.5900925421883506,0.3304300489929232,0.7528579205225912,0.33696243875884596,0.25857376156777356,0.34893848666303756,0.2678279804028307,0.5002721829069134,0.36140546569994425,0.3728905824714208
85-ECT0010,ECT11,3,3.0,0.0,202007,202007.0,ECT11,2.0,0.974598492,0.045365495,23.33129771,0.359830887,0.65680604,0.337432897,1.448854962,1.864318182,1.628618745,1.435708651,0.301663786,0.296709259,15282.0,0.398907814,0.022575579,0.030035336,0.0,0.00333726,0.000130873,0.915652402,0.0,62.0,0.883969466,0.5002721829069134,0.6695699510070767,0.7191072400653239,0.6722917800762113,0.54817637452368,0.19216113228089277,0.2896026129559064,0.8916712030484486,0.49428415895481764,0.34077299945563416,0.4006532389765923,0.3271638541099619,0.29994556341861733,0.7920522591181274,0.7403375068045727,0.3304300489929232,0.7245508982035929,0.3864997278170931,0.33206314643440393,0.49700598802395207,0.16548720740337508,0.5002721829069134,0.48354712771890684,0.8824169842133914
85-ECT0010,ECT11,4,4.0,0.0,202008,202008.0,ECT11,2.0,0.96084019,0.045876983,23.63362832,0.334767224,0.619196327,0.355808158,1.49380531,2.06107097,1.843033923,1.580006391,0.275072599,0.259204909,13353.0,0.463803963,0.035497641,0.065678125,0.0,0.001947128,0.000149779,0.892084176,0.0,49.0,0.863716814,0.5002721829069134,0.6412629286880784,0.6249319542732716,0.703864997278171,0.4403919433859554,0.3413173652694611,0.3473053892215569,0.9569951007076756,0.5187806205770278,0.2961350027218291,0.8100163309744148,0.2841589548176375,0.24006532389765922,0.8786064235166031,0.6320087098530213,0.3304300489929232,0.615405552531301,0.4583560152422428,0.44148067501360916,0.45454545454545453,0.17310832879695154,0.5002721829069134,0.596207473508087,0.6913445835601524
85-ECT0010,ECT11,4,4.0,0.0,202009,202009.0,ECT11,2.0,0.977455929,0.046716367,23.34719711,0.320759149,0.643070369,0.3408989,1.628390597,2.051209981,1.855270745,1.597080068,0.348285405,0.346970933,12911.0,0.469436022,0.036093254,0.060723414,0.0,0.005421733,0.00139416,0.899155759,0.0,53.0,0.835443038,0.5002721829069134,0.7016875340228633,0.5021774632553075,0.6788241698421339,0.3734349482852477,0.3658138268916712,0.4518236254763201,0.9586281981491562,0.5748502994011976,0.3211758301578661,0.7713663581927055,0.40174197060424605,0.3864997278170931,0.7958628198149156,0.5960805661404464,0.3304300489929232,0.648339684267828,0.4703320631464344,0.4491017964071856,0.46543277082199236,0.3326075122482308,0.5002721829069134,0.5900725041829337,0.9172563962983125
85-ECT0010,ECT11,4,4.0,0.0,202010,202010.0,ECT11,2.0,0.977636224,0.046942377,23.74954955,0.300035076,0.598327739,0.364011031,1.724324324,1.985863402,1.910349349,1.596713714,0.38497118,0.389067675,13181.0,0.484965059,0.019118428,0.049009939,0.0,0.0,0.0,0.881116759,0.0,45.0,0.830630631,0.5002721829069134,0.2759934676102341,0.4844855743059336,0.7218290691344583,0.25694066412629285,0.4349482852476865,0.48502994011976047,0.8557430593358737,0.6113228089275994,0.2759934676102341,0.65323897659227,0.4583560152422428,0.4550898203592814,0.9025585193249864,0.6189439303211758,0.3304300489929232,0.5699510070767556,0.4697876973326075,0.48775176918889496,0.4376701143168209,0.06314643440391943,0.5002721829069134,0.5499163413273843,0.9188894937397931
85-ECT0010,ECT11,4,4.0,0.0,202011,202011.0,ECT11,2.0,0.972626849,0.047208435,23.53275862,0.289947473,0.637269211,0.339858866,1.855172414,2.029822485,1.815304598,1.550657088,0.322224318,0.320395548,13649.0,0.458240726,0.020587589,0.036046597,0.0,0.046523555,0.0,0.899772877,0.0,47.0,0.855172414,0.5002721829069134,0.8127381600435493,0.5802939575394666,0.6766467065868264,0.1970604246053348,0.32553075666848125,0.5209580838323353,0.8715296679368536,0.6603157321720196,0.3151878062057703,0.47686445291235713,0.36309199782253676,0.33750680457267285,0.8530212302667393,0.6521502449646163,0.3304300489929232,0.5890038105606968,0.4376701143168209,0.4262384322264562,0.4665215024496462,0.06314643440391943,0.5002721829069134,0.5755716675962075,0.8628198149156233
