STOCK_EVENT_TIME,PART_NO,CATEGORY,PUT_ON_SERIAL,REPLACE_SERIAL,EQP_NO,CHAMBER_NO,LAYER,PUT_ON_STATUS,REPLACE_STATUS,KIND,FAB,QTY
2015/10/3 09:45,85-ECT0010,GE,52DG1MM-02011,52DG1MM-02011,ECT63,PM2,F68 1C,clean,廠內清洗,TS,P2,1
2015/10/3 14:45,85-ECT0010,GE,54BF1MM-02011,54BF1MM-02011,ECT22,PM1,F68 oxide 3S,clean,廠內清洗,PM,P1,1
2015/10/3 18:57,85-ECT0010,GE,53530MM-02011,4ZEV1MM-02011,EHT03,PM2,1C,備品,待報廢,PM,P1,1
2015/10/4 05:59,85-ECT0010,GE,53386MM-02011,53G26MM-02011,EHT09,PM2,DK40 7F,新品,待報廢,TS,P1,1
2015/10/4 10:57,85-ECT0010,GE,55C80MM-02011,55194MM-02011,ECT62,PM2,F38 1T,新品,備品,PM,P2,1
2015/10/4 14:46,85-ECT0010,GE,54B56MM-02011,54B56MM-02011,ECT17,PM2,LCD 1C,clean,廠內清洗,TS,P1,1
2015/10/4 16:21,85-ECT0010,GE,53388MM-02011,53F54MM-02011,EHT07,PM1,LCD 1C,新品,備品,PM,P1,1
2015/10/4 17:23,85-ECT0010,GE,53F55MM-02011,53F55MM-02011,ECT66,PM3,F68 1C,clean,廠內清洗,PM,P2,1
2015/10/4 17:49,85-ECT0010,GE,54B54MM-02011,54B54MM-02011,ECT13,PM2,1C,clean,廠內清洗,PM,P1,1
2015/10/4 21:43,85-ECT0010,GE,53385MM-02011,53380MM-02011,ECT70,PM2,1F,新品,備品,PM,P2,1
2015/10/4 23:52,85-ECT0010,GE,53F54MM-02011,54B57MM-02011,ECT70,PM1,F68 1C,備品,待報廢,PM,P2,1
2015/10/5 12:38,85-ECT0010,GE,53380MM-02011,54747MM-02011,ECT15,PM2,LCD 1C,備品,備品,PM,P1,1
2015/10/5 15:03,85-ECT0010,GE,53F54MM-02011,53F54MM-02011,ECT70,PM1,F68 1C,clean,廠內清洗,TS,P2,1
2015/10/5 18:14,85-ECT0010,GE,55213MM-02011,55213MM-02011,ECT61,PM1,F63 2B SAC,clean,廠內清洗,PM,P2,1
2015/10/5 21:25,85-ECT0010,GE,54BF1MM-02011,54BF1MM-02011,ECT22,PM1,F68 oxide 3S,clean,廠內清洗,TS,P1,1
2015/10/6 18:03,85-ECT0010,GE,54747MM-02011,53F55MM-02011,ECT66,PM3,F68 1C,備品,備品,TS,P2,1
2015/10/6 18:19,85-ECT0010,GE,55GB3MM-02011,53389MM-02011,ECT62,PM1,F38 1T,新品,備品,TS,P2,1
2015/10/6 18:55,85-ECT0010,GE,55C78MM-02011,36026MM-02011,ECT63, ,DK40 3B,新品,備品,TS,P2,1
2015/10/7 00:29,85-ECT0010,GE,53AP9MM-02011,53F59MM-02011,ECT69,PM2,F68 1C,備品,備品,PM,P2,1
2015/10/7 15:52,85-ECT0010,GE,53AP8MM-02011,51401MM-02011,EHT07,PM2,CIS 5E,備品,待報廢,PM,P1,1
2015/10/7 18:37,85-ECT0010,GE,4XEU0MM-02011,4XEU0MM-02011,ECT23,PM1,R55 1C,clean,廠內清洗,TS,P1,1
2015/10/7 18:46,85-ECT0010,GE,52DG1MM-02011,53F53MM-02011,EHT02,PM2,LCD 1C,備品,待報廢,PM,P1,1
2015/10/7 19:26,85-ECT0010,GE,55GD0MM-02011,54BE5MM-02011,ECT19,PM1,C4F8 1T,新品,備品,PM,P1,1
2015/10/8 01:47,85-ECT0010,GE,53BH9MM-02011,53BH9MM-02011,ECT65,PM2,1C,clean,廠內清洗,TS,P2,1
2015/10/8 18:53,85-ECT0010,GE,55194MM-02011,54BF2MM-02011,ECT13,PM1,1C,備品,備品,PM,P1,1
2015/10/8 20:15,85-ECT0010,GE,54BF4MM-02011,54BF4MM-02011,ECT69,PM1,F68 1C,clean,廠內清洗,PM,P2,1
2015/10/9 02:28,85-ECT0010,GE,51155MM-02011,51155MM-02011,EHT04,PM2,1C,clean,廠內清洗,PM,P1,1
2015/10/9 11:14,85-ECT0010,GE,55CG4MM-02011,53F57MM-02011,EHT51,PM1,F38 1T,新品,備品,TS,P2,1
2015/10/9 18:04,85-ECT0010,GE,53F61MM-02011,54BF0MM-02011,EHT06,PM1,LCD 1C,備品,備品,PM,P1,1
2015/10/9 18:21,85-ECT0010,GE,55B70MM-02011,52EF1MM-02011,ECT17,PM1,F68 oxide 3S,新品,備品,TS,P1,1
2015/10/10 09:35,85-ECT0010,GE,55C79MM-02011,54B53MM-02011,ECT18,PM1,C4F8 1T,備品,備品,TS,P1,1
2015/10/10 12:42,85-ECT0010,GE,54269MM-02011,54269MM-02011,ECT61,PM2,F63 2B SAC,clean,廠內清洗,PM,P2,1
2015/10/10 18:32,85-ECT0010,GE,54BF0MM-02011,52FC5MM-02011,EHT51,PM3,MX 1T,備品,待報廢,PM,P2,1
2015/10/10 19:10,85-ECT0010,GE,54B53MM-02011,49B31MM-02011,EHT01,PM1,LCD 1C,新品,待報廢,PM,P1,1
2015/10/10 20:12,85-ECT0010,GE,54CS9MM-02011,54CS9MM-02011,EHT01,PM2,LCD 1C,clean,廠內清洗,PM,P1,1
2015/10/10 21:18,85-ECT0010,GE,55B70MM-02011,55B70MM-02011,ECT17,PM1,F68 oxide 3S,clean,廠內清洗,TS,P1,1
2015/10/10 22:14,85-ECT0010,GE,55C81MM-02011,55C81MM-02011,ECT11,PM2,DK70 1G,clean,廠內清洗,TS,P1,1
2015/10/10 22:59,85-ECT0010,GE,55B66MM-02011,55199MM-02011,EHT09,PM1,DK40 7F,新品,備品,PM,P1,1
